YEAR;WUE;ID;Psummer;Tsummer;BAI
1996;77.50337398;1;46.80000051;40.33333397;1123.207613
1997;80.34619751;1;96.8666687;71.36666838;557.0392855
1998;87.23039938;1;35.70000045;28.63333384;1099.175081
1999;78.49202258;1;44.26666832;39.06666819;935.6981258
2000;79.2619239;1;38.73333422;30.60000038;1119.315009
2001;81.93745082;1;36.46666781;35.93333435;890.8254718
2002;80.14672423;1;63.46666718;48.43333403;1006.400595
2003;86.11693316;1;26.96666813;22.13333416;1267.555563
2004;81.24971792;1;37.43333435;32.50000127;939.5523666
2005;84.10784646;1;21.13333416;15.70000045;858.9049843
2006;74.16577922;1;45.40000025;26.90000025;875.6845143
2007;76.61416514;1;39.50000032;25.13333384;1391.483323
2008;81.75366557;1;41.80000114;22.46666749;1164.08968
2009;90.27107404;1;26.26666768;20.96666718;1154.087811
2010;83.87974958;1;42.96666622;18.23333359;831.6258973
2011;83.28075879;1;38.0333341;26.73333359;1099.555681
2012;89.98962344;1;26.29999955;17.19999981;1182.210901
2013;83.53373138;1;53.59999975;26.96666654;417.2496638
2014;83.38950547;1;43.5333341;31.96666749;870.1624344
2015;88.70469034;1;63.06666565;37.56666629;1216.570646
2016;84.8299656;1;24.56666708;20.93333387;971.3783224
2017;84.43875831;1;60.23333486;32.83333397;531.5639474
2018;84.03060625;1;58.70000203;37.90000057;NA
2019;84.41917357;1;48.26666832;42.33333429;NA
2020;81.2883988;1;45.83333524;24.60000102;NA
1900;60.75080724;5;NA;NA;602.684779
1901;71.56112322;5;48.8333346;32.90000153;524.3643056
1902;75.63043164;5;54.56666819;33.40000121;606.5839449
1903;65.51396851;5;48.16666794;24.73333359;650.5717332
1904;65.87663741;5;38.03333314;15.06666692;830.5780821
1905;65.82159496;5;54.80000051;35.03333378;671.0999819
1906;67.07096548;5;25.5666672;14.33333361;675.5714107
1907;66.06663383;5;22.16666667;20.96666654;520.7965671
1908;60.71749772;5;66.33333524;25.43333435;689.5915971
1909;70.47230828;5;41.73333263;16.36666648;731.9466443
1910;60.68513257;5;41.80000178;20.00000095;585.9900336
1911;76.67405936;5;54.93333435;27.60000006;740.2618011
1912;71.33745214;5;46.46666718;32.46666749;582.3917471
1913;70.13842056;5;41.60000102;24.39999994;628.0408441
1914;52.31797017;5;50.06666756;30.76666768;232.7088037
1915;56.50674716;5;35.93333356;21.19999997;519.5383077
1916;74.31012853;5;29.76666673;26.53333314;629.9430001
1917;78.10350548;5;39.66666794;22.70000045;641.0854331
1918;54.18149316;5;23.06666708;13.93333387;511.7410565
1919;61.93210653;5;24.86666648;18.4333334;462.9074124
1920;71.19793248;5;41.43333371;23.63333384;675.1613941
1921;74.41257082;5;42.0333341;26.50000095;530.294191
1922;61.3277701;5;44.39999962;22.96666686;475.8621087
1923;66.9722148;5;41.10000165;41.26666832;371.591675
1924;72.33589307;5;15.50000032;14.23333359;297.1524234
1925;74.4845222;5;49.76666768;35.30000051;491.1354277
1926;65.55168528;5;28.96666718;20.26666673;556.1360132
1927;75.84954924;5;56.43333562;35.0333341;384.865565
1928;76.18980066;5;30.26666705;22.56666692;500.7570831
1929;69.08402178;5;45.2000014;20.00000032;399.8439201
1930;71.17916991;5;67.80000114;35.06666692;531.2791115
1931;64.77585655;5;44.70000203;36.43333467;551.2047286
1932;68.92833607;5;85.53333537;54.46666876;569.1527892
1933;59.46230618;5;53.80000178;29.43333371;607.0924674
1934;71.06191273;5;49.43333435;34.26666705;674.1968618
1935;77.29916744;5;47;35.13333352;382.3482874
1936;73.0606174;5;48.66666698;29.03333378;327.7576766
1937;60.43108602;5;50.83333429;19.20000013;401.6020246
1938;61.19746077;5;30.7000014;21.73333391;355.6638969
1939;64.03925851;5;57.13333384;34.06666724;564.8562526
1940;61.04153424;5;65.80000051;36.6000007;702.7668257
1941;73.97979858;5;66.60000102;44.10000102;634.9894049
1942;72.45019465;5;57.76666768;43.53333378;508.4691496
1943;63.38869672;5;42.66666794;37.46666813;336.0407858
1944;65.53319773;5;40.0333341;24.90000089;604.2080087
1945;78.05081741;5;51.69999949;42.23333263;139.7926986
1946;72.89291376;5;28.50000032;22.33333365;437.3217458
1947;77.99440142;5;37.46666781;29.40000057;334.847444
1948;60.9774703;5;34.00000127;32.50000095;595.7388685
1949;50.64508038;5;43.46666718;29.20000013;804.0318825
1950;77.63266098;5;45;31.26666705;619.429064
1951;65.42644069;5;59.90000025;38.20000045;654.1021352
1952;65.95073673;5;67.0333341;57.90000089;959.697905
1953;68.21959182;5;62.46666908;19.13333384;1084.45183
1954;69.8554421;5;47.60000102;31.03333441;848.8413375
1955;67.29885527;5;53.26666705;31.89999994;1018.523381
1956;73.91405699;5;34.36666679;24.90000057;905.5841758
1957;68.7288029;5;45.70000076;15.73333359;834.2997373
1958;53.7187415;5;53.80000178;33.30000019;1261.411133
1959;55.15255096;5;58.10000102;37.63333448;1351.288608
1960;57.65718735;5;38.90000089;26.1666673;1125.143888
1961;61.72687688;5;45.30000051;33.40000025;1272.60051
1962;61.55067917;5;18.53333346;13.06666692;925.706011
1963;57.36880003;5;68.16666794;40.16666794;849.4338682
1964;70.63072748;5;29.00000127;18.93333403;1331.187301
1965;74.05298262;5;25.03333378;20.96666718;1023.594256
1966;71.83977036;5;41.43333371;19.66666762;671.9342918
1967;68.05574159;5;34.26666705;24.03333378;771.8084347
1968;73.79728775;5;40.56666756;33.70000045;699.7001759
1969;75.24422582;5;38.33333524;19.56666724;910.8708126
1970;72.79915093;5;43.03333378;26.63333321;1007.616295
1971;70.71623525;5;55.76666641;29.39999994;963.4560074
1972;68.86086828;5;51.60000038;31;1049.249739
1973;67.78634098;5;63.90000153;37.23333486;1359.386345
1974;63.72211154;5;53.43333435;40.5333341;1198.823641
1975;63.62867938;5;31.50000127;24.16666762;1117.839354
1976;52.52065566;5;58.06666819;54.53333473;717.2168057
1977;78.20460882;5;95.36666997;49.53333473;834.1749354
1978;82.48016972;5;36.13333416;16.46666654;1057.514612
1979;75.17541645;5;45.66666794;39.10000102;430.4595775
1980;41.86961363;5;44.46666781;26.43333403;463.2820263
1981;59.19297314;5;38.56666692;32.63333321;606.1657612
1982;49.53127684;5;41.80000178;34.43333435;828.6127993
1983;69.67948958;5;85.13333766;77.53333759;801.4370651
1984;63.05438312;5;33.06666629;17.60000006;894.1406274
1985;70.31107175;5;38.6000007;27.26666705;960.8481442
1986;74.00349438;5;22.46666749;13.60000038;827.3134862
1987;75.11150305;5;50.1666673;31.73333359;491.9106949
1988;74.31682647;5;61.1666673;29.06666692;1235.8221
1989;77.1188224;5;30.76666705;28.56666724;1001.363296
1990;79.92909882;5;47.43333435;27.73333391;1106.982382
1991;86.14958618;5;18.4333334;15.46666686;1108.307195
1992;80.20558864;5;78.36667061;33.56666756;824.2375461
1993;79.88763291;5;37.70000013;26.10000038;919.9430834
1994;76.85750682;5;34.96666781;25.16666698;829.8396615
1995;78.93020917;5;39.5333341;23.26666705;248.4816389
1996;70.62468399;5;46.80000051;40.33333397;411.3150125
1997;86.49808879;5;96.8666687;71.36666838;241.4662595
1998;63.33188846;5;35.70000045;28.63333384;621.8886662
1999;73.46648134;5;44.26666832;39.06666819;758.5009577
2000;54.42782169;5;38.73333422;30.60000038;902.5573976
2001;84.11834915;5;36.46666781;35.93333435;703.6241573
2002;81.64857828;5;63.46666718;48.43333403;768.2145941
2003;81.5429793;5;26.96666813;22.13333416;1027.493317
2004;72.73726446;5;37.43333435;32.50000127;714.0579982
2005;76.97899986;5;21.13333416;15.70000045;820.8191498
2006;85.01578647;5;45.40000025;26.90000025;598.1728063
2007;83.27682109;5;39.50000032;25.13333384;894.6727099
2008;82.23318089;5;41.80000114;22.46666749;968.5785579
2009;83.78142076;5;26.26666768;20.96666718;767.0230791
2010;62.47131145;5;42.96666622;18.23333359;414.0778454
2011;67.52275601;5;38.0333341;26.73333359;683.377539
2012;90.20647366;5;26.29999955;17.19999981;803.0862357
2013;55.37504256;5;53.59999975;26.96666654;284.6794253
2014;75.07362904;5;43.5333341;31.96666749;608.0268117
2015;87.92426625;5;63.06666565;37.56666629;866.1988346
2016;66.80483602;5;24.56666708;20.93333387;631.1740033
2017;63.98776525;5;60.23333486;32.83333397;199.8493318
2018;95.10367664;5;58.70000203;37.90000057;NA
2019;66.51081098;5;48.26666832;42.33333429;NA
2020;69.28997552;5;45.83333524;24.60000102;NA
1900;64.74748573;2;NA;NA;358.6057785
1901;60.75318379;2;60.40000153;46.03333441;346.5092263
1902;66.71792024;2;62.36666743;42.63333416;244.012429
1903;63.92089785;2;52.56666819;30.63333352;169.036965
1904;62.49833938;2;41.0333341;20.83333429;394.7419117
1905;58.29960688;2;58.43333562;41.5333341;304.8922729
1906;64.49907983;2;29.30000043;14.93333395;256.5918891
1907;63.14693975;2;34.9333334;34.5666666;242.1463028
1908;65.34312275;2;69.4000028;31.20000076;319.555323
1909;67.62527831;2;46.53333473;25.4333334;424.4227321
1910;66.81843207;2;46.40000089;24.66666698;461.3077259
1911;72.65608986;2;68.50000254;33.33333429;483.8090599
1912;66.09729598;2;55.76666896;46.00000191;326.5814236
1913;68.94871434;2;45.63333321;30.90000025;411.6663076
1914;76.04270812;2;75.20000331;46.66666857;158.2666546
1915;66.36196298;2;31.89999994;17.60000038;337.3222497
1916;61.37391748;2;41.43333403;29.43333371;428.914787
1917;63.68847941;2;50.5333341;29.30000083;510.8587058
1918;73.16842951;2;31.96666749;18.30000019;516.7122643
1919;71.82910518;2;24.83333333;20.4333334;450.2002993
1920;65.87307336;2;30.13333321;20.83333333;586.9798951
1921;73.06721567;2;46.40000089;32.73333391;520.9842228
1922;75.8559449;2;47.56666724;28.16666667;311.6276175
1923;65.75814398;2;43.23333581;43.56666915;147.8959841
1924;80.103375;2;24.0333341;17.90000025;210.3245963
1925;75.91095376;2;62.70000076;47.00000095;212.3676602
1926;81.0788998;2;29.73333391;20.36666743;293.8639428
1927;70.68289634;2;64.40000153;46.76666673;244.0519146
1928;82.75391826;2;32.60000102;24.73333359;282.9369811
1929;68.70325324;2;49.93333499;29.36666679;153.6733781
1930;59.43200202;2;69.53333473;49.766668;414.1005393
1931;68.42807823;2;60.3666687;46.50000127;574.1265795
1932;67.06391195;2;99.80000051;66.86666775;481.1963577
1933;67.66936418;2;60.63333511;35.40000089;450.4107222
